archetype,id,name,posX,posY,posZ,temperature,humidity,commercialVal,accessibility,symbolicVal,thermalStress,flowDensity
Tourist,boulevard_coupole_0,"Interpolated Waypoint",10.0,0.0,5.0,33.0,0.45,0.9,0.85,0.8,0.85,0.95
Tourist,boulevard_coupole_25,"Interpolated Waypoint",8.105354291862003,7.578582832551991,5.5683937124414,32.1474094313379,0.46894645708138,0.86210708583724,0.82158031437793,0.82841968562207,0.79316062875586,0.91210708583724
Tourist,boulevard_coupole_50,"Interpolated Waypoint",5.647247183519379,17.411011265922482,6.305825844944186,31.04126123258372,0.4935275281648062,0.8129449436703876,0.7847087077527907,0.8652912922472094,0.7194174155055814,0.8629449436703875
Tourist,boulevard_coupole_75,"Interpolated Waypoint",2.9193436652882356,28.322625338847057,7.12419690041353,29.813704649379705,0.5208065633471177,0.7583868733057647,0.7437901549793235,0.9062098450206765,0.6375803099586471,0.8083868733057646
Tourist,coupole_glasswalk_0,"Interpolated Waypoint",0.0,40.0,8.0,28.5,0.55,0.7,0.7,0.95,0.55,0.75
Tourist,coupole_glasswalk_25,"Interpolated Waypoint",0.9473228540689989,41.894645708138,8.3789291416276,28.6894645708138,0.54052677145931,0.7284196856220699,0.64316062875586,0.94052677145931,0.55947322854069,0.75947322854069
Tourist,coupole_glasswalk_50,"Interpolated Waypoint",2.1763764082403103,44.35275281648062,8.870550563296124,28.93527528164806,0.5282362359175969,0.7652912922472093,0.5694174155055813,0.9282362359175969,0.5717637640824031,0.7717637640824031
Tourist,coupole_glasswalk_75,"Interpolated Waypoint",3.540328167355882,47.08065633471176,9.416131266942353,29.208065633471175,0.5145967183264412,0.8062098450206765,0.4875803099586471,0.9145967183264412,0.5854032816735588,0.7854032816735589
Tourist,glasswalk_rooftop_0,"Interpolated Waypoint",5.0,50.0,10.0,29.5,0.5,0.85,0.4,0.9,0.6,0.8
Tourist,glasswalk_rooftop_25,"Interpolated Waypoint",4.052677145931002,53.789291416275994,10.947322854068998,30.7315197102897,0.46210708583724003,0.76474094313379,0.43789291416276,0.89052677145931,0.6568393712441399,0.7621070858372401
Tourist,glasswalk_rooftop_50,"Interpolated Waypoint",2.8236235917596897,58.70550563296124,12.17637640824031,32.329289330712406,0.4129449436703876,0.654126123258372,0.48705505632961243,0.8782362359175969,0.7305825844944186,0.7129449436703876
Tourist,glasswalk_rooftop_75,"Interpolated Waypoint",1.4596718326441178,64.16131266942352,13.540328167355883,34.10242661756265,0.3583868733057647,0.5313704649379706,0.5416131266942352,0.8645967183264411,0.812419690041353,0.6583868733057647
Tourist,rooftop,"Rooftop Terrace & Microclimate",0.0,70.0,15.0,36.0,0.3,0.4,0.6,0.85,0.9,0.6
Worker,underground_boulevard_0,"Interpolated Waypoint",0.0,-10.0,0.0,24.5,0.75,0.2,0.9,0.2,0.3,0.85
Worker,underground_boulevard_25,"Interpolated Waypoint",3.2987697769322355,-6.701230223067764,1.6493848884661177,27.3039543103924,0.651036906692033,0.43091388438525646,0.8835061511153388,0.39792618661593415,0.4814323377312729,0.8829876977693223
Worker,underground_boulevard_50,"Interpolated Waypoint",5.743491774985174,-4.256508225014826,2.871745887492587,29.3819680087374,0.5776952467504448,0.6020444242489622,0.8712825411250741,0.5446095064991106,0.6158920476241846,0.9074349177498517
Worker,underground_boulevard_75,"Interpolated Waypoint",7.944178807866091,-2.0558211921339087,3.9720894039330457,31.25255198668618,0.5116746357640173,0.7560925165506263,0.8602791059606696,0.6766507284719656,0.736929834432635,0.9294417880786608
Worker,boulevard_rooftop_0,"Interpolated Waypoint",10.0,0.0,5.0,33.0,0.45,0.9,0.85,0.8,0.85,0.95
